actor1,actor2,weight
11,855,9.708333333333334
11,978,9.166666666666666
11,1019,9.458333333333334
11,1030,9.458333333333334
11,1110,8.708333333333334
11,1189,9.333333333333334
11,1246,8.0
11,1304,9.458333333333334
11,1352,8.708333333333334
11,1457,9.333333333333334
11,1531,9.458333333333334
11,1643,9.166666666666666
11,1674,8.708333333333334
11,1711,9.333333333333334
11,1762,9.333333333333334
11,1928,9.166666666666666
11,1937,8.0
11,1999,9.708333333333334
11,2019,9.333333333333334
11,2039,9.166666666666666
11,2091,9.458333333333334
11,2152,9.333333333333334
11,2194,8.708333333333334
11,2206,9.333333333333334
11,2233,9.708333333333334
11,2356,9.166666666666666
11,2494,9.458333333333334
11,2559,9.708333333333334
11,2697,9.708333333333334
11,3043,8.0
11,3077,9.333333333333334
11,3080,8.0
12,60,6.166666666666667
12,143,7.041666666666667
12,433,6.166666666666667
12,826,7.041666666666667
12,1068,6.666666666666667
12,1173,7.041666666666667
12,1259,6.666666666666667
12,1396,6.666666666666667
12,1545,7.041666666666667
12,1726,6.666666666666667
12,2095,6.666666666666667
12,2319,6.166666666666667
12,2386,6.166666666666667
12,2429,6.166666666666667
12,2529,7.041666666666667
13,1246,8.0
13,1284,8.625
13,1411,8.625
13,1629,8.625
13,1742,8.625
13,1875,8.625
13,1937,8.0
13,3043,8.0
13,3080,8.0
14,1559,5.125
14,1689,5.125
14,2036,5.125
14,2269,5.125
14,2441,5.125
15,79,7.25
15,191,5.5
15,756,5.5
15,859,5.5
15,1066,7.25
15,1324,7.25
15,1383,5.5
15,2053,7.25
15,2289,5.5
15,3007,7.25
16,383,8.333333333333334
16,409,8.333333333333334
16,672,8.333333333333334
16,773,8.458333333333334
16,826,8.458333333333334
16,1443,8.458333333333334
16,1654,8.458333333333334
16,2244,8.458333333333334
16,2367,8.333333333333334
16,2595,8.333333333333334
18,965,7.25
18,1126,7.25
18,2089,7.25
18,2437,7.25
18,2447,7.25
20,30,8.458333333333334
20,154,9.208333333333334
20,256,8.5
20,342,9.208333333333334
20,381,9.583333333333334
20,496,9.208333333333334
20,520,9.208333333333334
20,574,9.208333333333334
20,589,8.5
20,607,9.208333333333334
20,689,9.541666666666666
20,705,9.208333333333334
20,751,9.75
20,770,9.208333333333334
20,942,9.541666666666666
20,943,8.458333333333334
20,1030,9.208333333333334
20,1191,9.583333333333334
20,1353,9.208333333333334
20,1358,8.458333333333334
20,1482,9.541666666666666
20,1682,9.75
20,1740,9.75
20,1798,9.75
20,1877,8.5
20,2067,9.583333333333334
20,2151,9.208333333333334
20,2193,9.208333333333334
20,2195,9.208333333333334
20,2236,9.208333333333334
20,2278,8.458333333333334
20,2374,9.583333333333334
20,2393,9.75
20,2494,8.5
20,2495,9.541666666666666
20,2609,8.458333333333334
20,2792,9.208333333333334
20,2890,8.5
20,2977,9.583333333333334
20,3084,9.541666666666666
21,80,9.6
21,301,8.291666666666666
21,445,8.454545454545455
21,464,8.454545454545455
21,541,9.0
21,546,9.75
21,620,6.9
21,703,6.9
21,884,9.6
21,1213,9.0
21,1256,9.75
21,1307,8.291666666666666
21,1359,8.291666666666666
21,1395,8.291666666666666
21,1446,7.75
21,1554,6.9
21,1570,9.0
21,1586,9.0
21,1634,6.9
21,1905,8.291666666666666
21,1964,9.75
21,2373,7.75
21,2376,9.75
21,2379,9.6
21,2547,8.454545454545455
21,2597,9.0
21,2599,7.75
21,2625,8.454545454545455
21,2838,9.6
21,2891,6.9
21,2913,7.75
21,2916,7.75
21,3015,9.6
21,3049,9.75
21,3083,8.454545454545455
22,293,8.541666666666666
22,935,8.541666666666666
22,1780,8.541666666666666
22,2727,8.541666666666666
23,584,9.375
23,1091,9.375
23,2022,9.375
23,2430,9.375
23,2947,9.375
24,374,9.0
24,801,9.0
24,869,8.0
24,905,8.0
24,976,9.5
24,1221,9.5
24,1361,9.0
24,1448,9.0
24,1501,9.0
24,1503,9.0
24,1783,8.0
24,2176,8.0
24,2266,8.0
25,1006,8.208333333333334
25,1111,8.208333333333334
25,1175,8.208333333333334
25,1404,8.208333333333334
25,2278,8.208333333333334
26,214,8.458333333333334
26,355,8.729166666666666
26,391,8.458333333333334
26,411,8.458333333333334
26,446,7.833333333333333
26,462,7.833333333333333
26,600,7.958333333333333
26,602,9.571428571428571
26,606,7.166666666666667
26,797,10.0
26,829,7.833333333333333
26,908,8.583333333333334
26,942,7.833333333333333
26,1022,10.0
26,1077,8.875
26,1082,10.0
26,1189,7.958333333333333
26,1260,9.571428571428571
26,1355,9.571428571428571
26,1486,7.166666666666667
26,1512,8.875
26,1518,8.729166666666666
26,1528,7.166666666666667
26,1538,10.0
26,1616,10.0
26,1674,9.571428571428571
26,1712,8.458333333333334
26,1728,8.875
26,1730,7.958333333333333
26,1805,7.833333333333333
26,1905,7.958333333333333
26,1995,9.571428571428571
26,2301,7.166666666666667
26,2687,8.875
26,2697,8.875
26,2701,8.729166666666666
26,2912,7.958333333333333
26,2924,8.875
26,2953,8.458333333333334
27,103,9.125
27,769,9.125
27,1758,9.125
27,1790,9.125
27,1907,9.125
28,320,6.5
28,422,6.5
28,1056,6.5
28,1225,6.5
28,1417,6.5
29,182,6.0
29,983,6.0
29,2253,6.0
29,3019,6.0
30,125,10.0
30,182,9.458333333333334
30,228,10.0
30,306,8.208333333333334
30,351,9.458333333333334
30,649,8.125
30,746,9.458333333333334
30,801,10.0
30,808,8.125
30,866,8.208333333333334
30,869,8.208333333333334
30,896,10.0
30,943,8.458333333333334
30,1233,7.1
30,1303,9.458333333333334
30,1358,8.458333333333334
30,1905,8.208333333333334
30,1978,7.1
30,2012,10.0
30,2207,7.1
30,2228,7.1
30,2272,8.125
30,2278,8.458333333333334
30,2609,8.458333333333334
30,2706,8.125
30,2739,9.458333333333334
30,2868,8.125
30,3012,7.1
30,3086,8.208333333333334
31,697,8.583333333333334
31,1421,8.583333333333334
31,3073,8.583333333333334
32,104,9.75
32,144,8.458333333333334
32,194,9.291666666666666
32,255,8.625
32,290,9.75
32,368,8.416666666666666
32,429,9.75
32,480,8.458333333333334
32,560,8.625
32,707,7.291666666666667
32,713,7.958333333333333
32,954,8.416666666666666
32,970,8.625
32,1213,9.291666666666666
32,1268,9.291666666666666
32,1528,8.416666666666666
32,1629,8.625
32,1698,8.416666666666666
32,1839,9.291666666666666
32,1952,7.958333333333333
32,2019,7.291666666666667
32,2205,7.291666666666667
32,2302,9.291666666666666
32,2475,9.75
32,2493,9.75
32,2511,8.458333333333334
32,2531,7.958333333333333
32,2564,8.625
32,2590,8.458333333333334
32,2707,7.958333333333333
32,2715,7.291666666666667
32,2782,7.291666666666667
32,2849,8.458333333333334
32,3065,8.416666666666666
